iter	PRAUC	Logloss
212	0.810153309	0.5729450834
213	0.8102811995	0.5727866102
214	0.810354273	0.5726089358
215	0.8104910579	0.5724851438
216	0.8106829024	0.5723391481
217	0.810756883	0.5722086864
218	0.8113625573	0.5718665256
219	0.811571685	0.5717437899
220	0.8116356323	0.5715788781
221	0.8116797713	0.57148106
222	0.8118024536	0.571346645
223	0.8119510989	0.5711845855
224	0.8120928725	0.5710718751
225	0.8125009603	0.5708444773
226	0.8128766712	0.5705662262
227	0.8130248566	0.5704537106
228	0.8131329795	0.57032311
229	0.8134623383	0.5701178796
230	0.8135392984	0.570033687
231	0.8136165219	0.5699441837
232	0.8136751788	0.5698527293
233	0.8137786533	0.5697436874
234	0.813938724	0.5695431148
235	0.8139667077	0.5694601869
236	0.8141362198	0.5693299216
237	0.8142867004	0.5692011081
238	0.8143540418	0.5691233128
239	0.8144550826	0.5690220547
240	0.8146398969	0.5688579612
241	0.8146727998	0.5687892823
242	0.8147619986	0.56865406
243	0.8148267668	0.5685282755
244	0.8149430026	0.5683918754
245	0.8151976841	0.5682088467
246	0.8153767364	0.5680483415
247	0.815594261	0.5678808843
248	0.8157040904	0.5677597095
249	0.8157530401	0.5676734913
250	0.8158566529	0.5675384853
251	0.8158752393	0.5674591259
252	0.8159167665	0.5674222501
253	0.8160014685	0.567331159
254	0.8160960709	0.5672306891
255	0.816151581	0.5671275154
256	0.8162292188	0.5670292959
257	0.8163419953	0.566895915
258	0.8164067133	0.5668195203
259	0.8165288732	0.566684921
260	0.8165987702	0.566562239
261	0.8167085118	0.5664550336
262	0.8167925379	0.5663191877
263	0.8168496716	0.5662506789
264	0.8169965934	0.566128771
265	0.8171334281	0.5660140076
266	0.8173730035	0.5658655934
267	0.8174388477	0.5657846881
268	0.8175675867	0.5656947792
269	0.8176960546	0.565567806
270	0.818142812	0.5652765178
271	0.8183722754	0.5650690699
272	0.8184136138	0.5649741994
273	0.8185621776	0.5648280041
274	0.8186328214	0.5647108186
275	0.8187319602	0.5646425334
276	0.818818356	0.5645360722
277	0.8189675661	0.5643932711
278	0.8193097534	0.5641423399
279	0.8194159363	0.5640309054
280	0.8195344964	0.5639233372
281	0.8196922498	0.5637960602
282	0.819890469	0.5636467602
283	0.8199458957	0.5635386058
284	0.8200495954	0.5634423786
285	0.8201599754	0.5633588223
286	0.8202744657	0.5632525292
287	0.820413041	0.5631592406
288	0.8205606378	0.5630639561
289	0.8207726462	0.5628692103
290	0.8208062852	0.562801767
291	0.8208451068	0.5627068073
292	0.8209332741	0.5626090937
293	0.8210426368	0.5624947615
294	0.8212630899	0.5623245621
295	0.8213206132	0.5622231321
296	0.821428192	0.5620931062
297	0.8214689148	0.5620130145
298	0.8215542154	0.5619449363
299	0.8216756771	0.5618248999
300	0.8217675884	0.5617429935
301	0.8218564657	0.5616264788
302	0.8218816325	0.5615232289
303	0.8219142577	0.5614488473
304	0.821972732	0.5613785433
305	0.8219979609	0.5613081901
306	0.8220722482	0.5612011277
307	0.8221329123	0.5610862758
308	0.8222427046	0.5609779659
309	0.8223703084	0.5608602713
310	0.822495494	0.5607277892
311	0.8226165922	0.560657622
312	0.8227053427	0.5605635037
313	0.8227357973	0.5605131655
314	0.8228006379	0.5603925237
315	0.8228643543	0.5603209117
316	0.8229535883	0.5602111943
317	0.8230233627	0.5601296617
318	0.8230976313	0.5600606056
319	0.8231095347	0.5600091863
320	0.8231288844	0.5599512589
321	0.8232559552	0.5598479607
322	0.8234633508	0.5597201828
323	0.8235495334	0.5596360687
324	0.8235974703	0.5595348179
325	0.823693408	0.5594327644
326	0.8238359982	0.5592773062
327	0.8239221912	0.5591877677
328	0.8239639706	0.5591326462
329	0.8240393698	0.5590647275
330	0.8241579178	0.5589655663
331	0.824314415	0.5588495986
332	0.8243738461	0.5587751187
333	0.8245307896	0.5586579455
334	0.8245927718	0.558575932
335	0.8246981037	0.5584781278
336	0.8248478974	0.558381875
337	0.8250213818	0.558237123
338	0.8250677961	0.5581543712
339	0.8250931185	0.5580927572
340	0.8251266113	0.5580394028
341	0.8252469942	0.5579308263
342	0.825346199	0.5578219283
343	0.8254511244	0.5577354642
344	0.8255092941	0.5576208283
345	0.8256365461	0.5574806967
346	0.8258133248	0.5573811639
347	0.8258453701	0.5573230268
348	0.8259338315	0.5572246755
349	0.8260303193	0.5571068862
350	0.8261970971	0.5569885267
351	0.8262573365	0.5568606964
352	0.8263154703	0.5567631369
353	0.8263559799	0.5566974369
354	0.8264325394	0.5566264654
355	0.8264920563	0.5565467254
356	0.8265699359	0.5564757142
357	0.8267377909	0.5563638079
358	0.8268509595	0.5562904232
359	0.8268876633	0.5562314769
360	0.8269147116	0.5561626712
361	0.8271292193	0.5560300558
362	0.827189344	0.5559474825
363	0.8273336892	0.5557887608
364	0.8274579993	0.5556872762
365	0.8275178647	0.5555978702
366	0.8275688824	0.5555047153
367	0.8275871128	0.5554566482
368	0.827673335	0.5553769558
369	0.8277629525	0.5552502813
370	0.827850963	0.5551445403
371	0.8279552145	0.555050715
372	0.82801253	0.5549823122
373	0.828118103	0.5548461048
374	0.8281565495	0.5547872913
375	0.8282119678	0.5546847134
376	0.8283048009	0.5545709636
377	0.828377432	0.5544914365
378	0.8283935763	0.5544335898
379	0.8284755751	0.5543237307
380	0.8285136659	0.554241785
381	0.8286029716	0.5541772923
382	0.828654398	0.5540805183
383	0.8288102684	0.5539595542
384	0.8288709265	0.5538860029
385	0.8289378438	0.5538124277
386	0.8290047087	0.5537306124
387	0.8292017325	0.5535597965
388	0.8293028918	0.5534662938
389	0.829351558	0.5533977331
390	0.8294423231	0.5533086198
391	0.8295177864	0.5532462863
392	0.8295438367	0.5531765949
393	0.8296232353	0.5530916426
394	0.8297077364	0.5530129313
395	0.8298025214	0.5529217178
396	0.8298998746	0.5527792174
397	0.8299481108	0.5526969889
398	0.8299887301	0.5526077215
399	0.8300556829	0.5525481401
400	0.8302339634	0.5524042661
401	0.830323099	0.5523369098
402	0.8304085459	0.5522419446
403	0.8304186602	0.5522019896
404	0.8305034137	0.5521047534
405	0.830606603	0.5520303509
406	0.8306323755	0.5519950984
407	0.8307197888	0.5518869449
408	0.8308451438	0.5517754546
409	0.8308997538	0.5516845838
410	0.8309765991	0.5516050078
411	0.831030326	0.5515156417
412	0.8311718885	0.551355257
413	0.8312036976	0.5512998866
414	0.8312970857	0.551190692
415	0.831384694	0.5510962634
416	0.8314305807	0.5510211379
417	0.8314474746	0.5509563863
418	0.8316556722	0.550841365
419	0.8316908695	0.5507512141
420	0.8318444409	0.5506448026
421	0.8318906146	0.5505628966
422	0.8319580632	0.5504625526
423	0.8320699349	0.550379386
424	0.8321538255	0.5502937997
425	0.8321956676	0.550210093
426	0.8322875404	0.5501281513
427	0.8323381713	0.5500926328
428	0.8323733523	0.5500402128
429	0.8324439717	0.5499542729
430	0.8324817261	0.5498968032
431	0.8326108689	0.5497844379
432	0.8326572506	0.5497291887
433	0.8327420961	0.5496343168
434	0.832812931	0.549523945
435	0.8329678103	0.5494039015
436	0.83301895	0.5493473505
437	0.8330947193	0.549276308
438	0.8331286151	0.549211671
439	0.8332468944	0.5491192152
440	0.8333143191	0.5490490179
441	0.8333525477	0.5489907788
442	0.833378803	0.5489604372
443	0.8334349333	0.5488849499
444	0.833489903	0.5488171922
445	0.8335951296	0.5487229969
446	0.8336452893	0.5486539697
447	0.8337102704	0.5485775421
448	0.8338190021	0.5485066343
449	0.833974824	0.5483832462
450	0.8340669888	0.548266494
451	0.8341220764	0.5482102058
452	0.834226932	0.5481018849
453	0.8342734088	0.5480109116
454	0.8343546402	0.5479173329
455	0.834457166	0.5478460575
456	0.8345607913	0.5477621977
457	0.8346937584	0.5476454667
458	0.8348008928	0.5475285816
459	0.8348497725	0.5474252374
460	0.8348920817	0.5473569742
461	0.8349643331	0.5472966817
462	0.8350389024	0.54722163
463	0.8352081623	0.547076497
464	0.8352487915	0.5470269813
465	0.8352827043	0.5469655472
466	0.8353872696	0.5468968221
467	0.8354479042	0.5468113118
468	0.8355635607	0.5467251228
469	0.8356164458	0.5466601791
470	0.8356611414	0.5466145325
471	0.8356929811	0.5465391823
472	0.8357726839	0.5464530762
473	0.835848501	0.5463667391
474	0.8358959675	0.5462724802
475	0.8359784511	0.5461735018
476	0.8360488025	0.5461279791
477	0.8361092138	0.5460514896
478	0.8362923242	0.5459254159
479	0.836344845	0.5458525025
480	0.8363744071	0.545816041
481	0.8364496246	0.5457422741
482	0.8364834187	0.5456838827
483	0.8365350657	0.545613027
484	0.8366142541	0.5455379587
485	0.8366527504	0.545471954
486	0.8366853517	0.5454117925
487	0.836786579	0.5453172678
488	0.8368779358	0.5452624792
489	0.8369727604	0.545147762
490	0.8371033182	0.5450439516
491	0.8372136664	0.5449576086
492	0.8372662633	0.5448810951
493	0.8373349405	0.5447944634
494	0.8373894173	0.5447450463
495	0.8374159579	0.5446844516
496	0.8375120579	0.5445976275
497	0.8375857537	0.5445176479
498	0.8376219092	0.5444659072
499	0.8376637295	0.5443820648
