iter	Passed	Remaining
378	7986	2563
379	7994	2537
380	8002	2512
381	8011	2487
382	8020	2462
383	8028	2437
384	8036	2412
385	8044	2388
386	8051	2363
387	8059	2338
388	8067	2314
389	8076	2289
390	8084	2265
391	8093	2241
392	8101	2217
393	8109	2192
394	8116	2168
395	8124	2144
396	8133	2120
397	8140	2096
398	8148	2073
399	8156	2049
400	8164	2025
401	8173	2002
402	8182	1979
403	8190	1955
404	8198	1932
405	8207	1909
406	8215	1886
407	8223	1863
408	8231	1840
409	8239	1817
410	8247	1794
411	8256	1772
412	8264	1749
413	8272	1726
414	8280	1704
415	8288	1681
416	8296	1659
417	8304	1636
418	8312	1614
419	8320	1592
420	8328	1570
421	8336	1548
422	8344	1526
423	8352	1504
424	8360	1482
425	8368	1460
426	8376	1438
427	8384	1417
428	8392	1395
429	8400	1373
430	8408	1352
431	8416	1330
432	8423	1309
433	8431	1288
434	8440	1267
435	8448	1245
436	8456	1224
437	8464	1203
438	8472	1182
439	8480	1161
440	8487	1140
441	8495	1119
442	8503	1099
443	8511	1078
444	8519	1057
445	8526	1037
446	8534	1016
447	8542	995
448	8550	975
449	8558	955
450	8566	934
451	8574	914
452	8582	894
453	8590	874
454	8599	854
455	8607	834
456	8615	814
457	8624	794
458	8632	774
459	8640	754
460	8648	734
461	8656	715
462	8665	695
463	8673	675
464	8681	656
465	8689	636
466	8697	617
467	8705	597
468	8713	578
469	8721	559
470	8729	539
471	8737	520
472	8746	501
473	8754	482
474	8762	463
475	8770	444
476	8778	425
477	8786	406
478	8795	387
479	8803	368
480	8811	349
481	8819	330
482	8827	311
483	8834	293
484	8842	274
485	8850	256
486	8858	237
487	8866	218
488	8874	200
489	8882	182
490	8890	163
491	8898	145
492	8906	126
493	8914	108
494	8922	90
495	8931	72
496	8939	54
497	8947	36
498	8955	18
499	8963	0
